"collection","file","source","last_write_time","bytes"
"sessions","rollout-2026-08-12T10-05-14-019ff3b7-74cb-7940-96f6-4c9ec4b46a2e.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T10-05-14-019ff3b7-74cb-7940-96f6-4c9ec4b46a2e.jsonl","2026-08-12T10:05:14","191054"
"sessions","rollout-2026-08-12T09-52-30-019ff3ab-cddb-78e1-a893-82b4979482de.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T09-52-30-019ff3ab-cddb-78e1-a893-82b4979482de.jsonl","2026-08-12T10:00:39","228762"
"sessions","rollout-2026-08-12T09-52-30-019ff3ab-cce6-7350-b3f8-9567f73f1a06.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T09-52-30-019ff3ab-cce6-7350-b3f8-9567f73f1a06.jsonl","2026-08-12T09:52:30","490372"
"sessions","rollout-2026-08-12T09-46-42-019ff3a6-7edb-7aa0-a314-485e639a753e.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T09-46-42-019ff3a6-7edb-7aa0-a314-485e639a753e.jsonl","2026-08-12T09:46:43","123167"
"sessions","rollout-2026-08-12T09-25-49-019ff393-5e91-77c2-b2ff-514c7755d2c6.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T09-25-49-019ff393-5e91-77c2-b2ff-514c7755d2c6.jsonl","2026-08-12T09:30:39","246378"
"sessions","rollout-2026-08-12T09-25-49-019ff393-5dbd-7182-8860-0137bdf413cf.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T09-25-49-019ff393-5dbd-7182-8860-0137bdf413cf.jsonl","2026-08-12T09:25:49","354970"
"sessions","rollout-2026-08-12T09-21-11-019ff38f-218f-77a0-b082-b6ac013d18b2.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T09-21-11-019ff38f-218f-77a0-b082-b6ac013d18b2.jsonl","2026-08-12T09:21:11","205903"
"sessions","rollout-2026-08-12T09-04-47-019ff380-1e5b-70e0-a710-b5550c067714.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T09-04-47-019ff380-1e5b-70e0-a710-b5550c067714.jsonl","2026-08-12T09:10:49","157816"
"sessions","rollout-2026-08-12T09-04-47-019ff380-1d84-75a2-803d-084e08c1dee4.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T09-04-47-019ff380-1d84-75a2-803d-084e08c1dee4.jsonl","2026-08-12T09:04:47","357198"
"sessions","rollout-2026-08-12T08-54-48-019ff376-f810-7f82-b273-600da23b8c37.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T08-54-48-019ff376-f810-7f82-b273-600da23b8c37.jsonl","2026-08-12T08:54:48","130957"
"sessions","rollout-2026-08-12T02-25-44-019ff212-c6c8-7481-a192-721ecf900727.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T02-25-44-019ff212-c6c8-7481-a192-721ecf900727.jsonl","2026-08-12T02:25:44","124533"
"sessions","rollout-2026-08-12T02-13-22-019ff207-74bf-75f2-80bd-a2d824e5a080.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T02-13-22-019ff207-74bf-75f2-80bd-a2d824e5a080.jsonl","2026-08-12T02:16:58","145085"
"sessions","rollout-2026-08-12T02-13-22-019ff207-73c2-7990-a379-a3d79b8f8a65.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T02-13-22-019ff207-73c2-7990-a379-a3d79b8f8a65.jsonl","2026-08-12T02:13:22","310277"
"sessions","rollout-2026-08-12T02-08-13-019ff202-bc7e-7690-b7aa-890794dccac3.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T02-08-13-019ff202-bc7e-7690-b7aa-890794dccac3.jsonl","2026-08-12T02:10:38","90282"
"sessions","rollout-2026-08-12T02-08-13-019ff202-bba2-72e1-a8d4-3e7382b77c9d.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T02-08-13-019ff202-bba2-72e1-a8d4-3e7382b77c9d.jsonl","2026-08-12T02:08:13","174564"
"sessions","rollout-2026-08-12T01-51-13-019ff1f3-2b53-7100-8dbf-c79ec3871851.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T01-51-13-019ff1f3-2b53-7100-8dbf-c79ec3871851.jsonl","2026-08-12T01:51:13","197148"
"sessions","rollout-2026-08-12T01-38-39-019ff1e7-aa7c-7c12-907f-93101916102b.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T01-38-39-019ff1e7-aa7c-7c12-907f-93101916102b.jsonl","2026-08-12T01:43:21","313102"
"sessions","rollout-2026-08-12T01-38-39-019ff1e7-a9b8-71c1-88ed-eb8c2145c68d.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T01-38-39-019ff1e7-a9b8-71c1-88ed-eb8c2145c68d.jsonl","2026-08-12T01:38:39","450324"
"sessions","rollout-2026-08-12T01-33-49-019ff1e3-3c6d-75e3-a4ea-4056df85d963.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T01-33-49-019ff1e3-3c6d-75e3-a4ea-4056df85d963.jsonl","2026-08-12T01:33:49","146553"
"sessions","rollout-2026-08-12T01-22-49-019ff1d9-2a87-7cc3-b8a5-657809446c3d.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T01-22-49-019ff1d9-2a87-7cc3-b8a5-657809446c3d.jsonl","2026-08-12T01:22:49","135337"
"sessions","rollout-2026-08-12T01-07-42-019ff1cb-5263-7843-9b24-fb2be876f40c.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T01-07-42-019ff1cb-5263-7843-9b24-fb2be876f40c.jsonl","2026-08-12T01:07:42","359527"
"sessions","rollout-2026-08-12T01-06-18-019ff1ca-0c71-7bf2-b5ec-be5c14b3bff5.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T01-06-18-019ff1ca-0c71-7bf2-b5ec-be5c14b3bff5.jsonl","2026-08-12T01:06:18","78636"
"sessions","rollout-2026-08-12T01-00-55-019ff1c5-20ac-7321-8003-8b713f74287c.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T01-00-55-019ff1c5-20ac-7321-8003-8b713f74287c.jsonl","2026-08-12T01:00:56","122351"
"sessions","rollout-2026-08-12T00-58-56-019ff1c3-4c77-7e42-849f-0aa8064dee3f.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T00-58-56-019ff1c3-4c77-7e42-849f-0aa8064dee3f.jsonl","2026-08-12T00:58:56","79056"
"sessions","rollout-2026-08-12T00-49-10-019ff1ba-5b82-7c61-8021-12c303ed6007.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T00-49-10-019ff1ba-5b82-7c61-8021-12c303ed6007.jsonl","2026-08-12T00:51:14","110995"
"sessions","rollout-2026-08-12T00-49-09-019ff1ba-5ad8-7f73-8c44-26761faeffe0.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T00-49-09-019ff1ba-5ad8-7f73-8c44-26761faeffe0.jsonl","2026-08-12T00:49:10","245142"
"sessions","rollout-2026-08-12T00-39-03-019ff1b1-1a7e-7100-8129-f36ca69528e3.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T00-39-03-019ff1b1-1a7e-7100-8129-f36ca69528e3.jsonl","2026-08-12T00:39:03","131950"
"sessions","rollout-2026-08-12T00-26-09-019ff1a5-48fc-7f42-86e8-16c8c039b54f.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T00-26-09-019ff1a5-48fc-7f42-86e8-16c8c039b54f.jsonl","2026-08-12T00:31:46","390330"
"sessions","rollout-2026-08-12T00-26-08-019ff1a5-4832-72f0-a489-34949758a498.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T00-26-08-019ff1a5-4832-72f0-a489-34949758a498.jsonl","2026-08-12T00:26:09","421870"
"sessions","rollout-2026-08-12T00-19-02-019ff19e-c6c6-7e72-aad8-b381d1cc6398.jsonl","C:\Users\30479\.codex\sessions\2026\08\12\rollout-2026-08-12T00-19-02-019ff19e-c6c6-7e72-aad8-b381d1cc6398.jsonl","2026-08-12T00:19:02","155927"
"sessions","rollout-2026-08-11T23-58-50-019ff18c-497a-75f1-bbfb-f930779a9593.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T23-58-50-019ff18c-497a-75f1-bbfb-f930779a9593.jsonl","2026-08-11T23:58:50","138915"
"sessions","rollout-2026-08-11T23-41-49-019ff17c-b41d-7963-8d0f-a64a1e51af1a.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T23-41-49-019ff17c-b41d-7963-8d0f-a64a1e51af1a.jsonl","2026-08-11T23:49:03","360730"
"sessions","rollout-2026-08-11T23-41-49-019ff17c-b356-7761-b1e7-9a0fbf3c533f.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T23-41-49-019ff17c-b356-7761-b1e7-9a0fbf3c533f.jsonl","2026-08-11T23:41:49","461711"
"sessions","rollout-2026-08-11T23-29-25-019ff171-59bd-74b2-a741-242ee094513c.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T23-29-25-019ff171-59bd-74b2-a741-242ee094513c.jsonl","2026-08-11T23:29:25","227616"
"sessions","rollout-2026-08-11T23-25-49-019ff16e-0c94-7e63-8017-84e3b955ddc5.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T23-25-49-019ff16e-0c94-7e63-8017-84e3b955ddc5.jsonl","2026-08-11T23:25:49","117797"
"sessions","rollout-2026-08-11T23-16-32-019ff165-8c75-7af1-a630-46fdfea8348b.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T23-16-32-019ff165-8c75-7af1-a630-46fdfea8348b.jsonl","2026-08-11T23:16:32","159825"
"sessions","rollout-2026-08-11T23-00-59-019ff157-50b5-70e2-908d-0bf0d7558c6d.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T23-00-59-019ff157-50b5-70e2-908d-0bf0d7558c6d.jsonl","2026-08-11T23:00:59","154545"
"sessions","rollout-2026-08-11T22-52-42-019ff14f-bab0-7b82-9bb8-5948b686340a.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T22-52-42-019ff14f-bab0-7b82-9bb8-5948b686340a.jsonl","2026-08-11T22:52:42","357379"
"sessions","rollout-2026-08-11T22-46-49-019ff14a-5785-77c2-8d16-c653eedfbf8a.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T22-46-49-019ff14a-5785-77c2-8d16-c653eedfbf8a.jsonl","2026-08-11T22:46:49","155792"
"sessions","rollout-2026-08-11T22-30-26-019ff13b-5b31-7ea1-aef6-3de38b604282.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T22-30-26-019ff13b-5b31-7ea1-aef6-3de38b604282.jsonl","2026-08-11T22:30:27","140542"
"sessions","rollout-2026-08-11T22-16-43-019ff12e-cc0d-7011-b272-b51f03131566.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T22-16-43-019ff12e-cc0d-7011-b272-b51f03131566.jsonl","2026-08-11T22:20:59","341849"
"sessions","rollout-2026-08-11T22-16-43-019ff12e-cb3e-7082-aa7f-82c8e48c693d.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T22-16-43-019ff12e-cb3e-7082-aa7f-82c8e48c693d.jsonl","2026-08-11T22:16:43","423615"
"sessions","rollout-2026-08-11T22-06-27-019ff125-63ff-7862-9604-28a3593a795c.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T22-06-27-019ff125-63ff-7862-9604-28a3593a795c.jsonl","2026-08-11T22:06:27","146848"
"sessions","rollout-2026-08-11T21-52-18-019ff118-6e6a-7241-bc0c-fe46d029565d.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T21-52-18-019ff118-6e6a-7241-bc0c-fe46d029565d.jsonl","2026-08-11T21:52:18","171385"
"sessions","rollout-2026-08-11T21-43-42-019ff110-9171-70e1-ad30-aa4509c2da89.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T21-43-42-019ff110-9171-70e1-ad30-aa4509c2da89.jsonl","2026-08-11T21:49:41","172262"
"sessions","rollout-2026-08-11T21-43-42-019ff110-90b2-7003-b32a-ff7414404b3a.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T21-43-42-019ff110-90b2-7003-b32a-ff7414404b3a.jsonl","2026-08-11T21:43:42","335700"
"sessions","rollout-2026-08-11T21-40-09-019ff10d-4f32-7572-a284-0e2f0c7c8983.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T21-40-09-019ff10d-4f32-7572-a284-0e2f0c7c8983.jsonl","2026-08-11T21:40:09","119218"
"sessions","rollout-2026-08-11T21-32-08-019ff105-fa58-77d0-b74b-5d4510384e53.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T21-32-08-019ff105-fa58-77d0-b74b-5d4510384e53.jsonl","2026-08-11T21:32:08","121169"
"sessions","rollout-2026-08-11T21-11-47-019ff0f3-54a7-7281-9316-0907fd26ce39.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T21-11-47-019ff0f3-54a7-7281-9316-0907fd26ce39.jsonl","2026-08-11T21:17:48","218697"
"sessions","rollout-2026-08-11T21-11-46-019ff0f3-53cc-75a0-9712-cf85f3f12ada.jsonl","C:\Users\30479\.codex\sessions\2026\08\11\rollout-2026-08-11T21-11-46-019ff0f3-53cc-75a0-9712-cf85f3f12ada.jsonl","2026-08-11T21:11:46","376606"
